drug,disease
hydrocortisone,"Asthma, acute, Acute Otitis Externa, Acute Otitis Externa, Addison's Disease, Adrenocortical Insufficiency, Atopic Dermatitis, Anal Itching, Aphthous Stomatitis, Recurrent, Eczema, Bacterial Skin Infection, Bacterial Skin Infection, Blepharitis, Chronic Otitis Media, Cold Sores (Herpes Simplex Labialis), Ulcerative Colitis, Crohn's Disease, Acute, Dermatitis, Dermatological Disorders, Otitis Media, Otitis Externa, Otitis Externa, Otitis Externa, Skin Rash, Psoriasis, Gingivitis, Hemorrhoids, Hemorrhoids, Hemorrhoids, Inflammatory Bowel Disease, Inflammatory Conditions, Intertrigo, Pruritus, Keratitis, Keratoconjunctivitis, Paronychia, Proctitis, Seborrheic Dermatitis, Shock, Ulcerative Colitis, Active, Ulcerative Proctitis"
hydrogen peroxide,"Oral and Dental Conditions, Seborrheic Keratosis"
hydromorphone,"Anesthetic Adjunct, Chronic Pain"
hydroquinone,"Dermatological Disorders, Melasma"
hydroxocobalamin,"Cyanide Poisoning, Schilling Test, Transcobalamin II Deficiency, Vitamin B12 Deficiency"
hydroxychloroquine,"Rheumatoid Arthritis, Dermatomyositis, Systemic Lupus Erythematosus, Lyme Disease, Arthritis, Malaria, Malaria Prevention (Malaria Prophylaxis), Sjogren's Syndrome, Undifferentiated Connective Tissue Disease"
hydroxyethyl starch,Hypovolemia
hydroxyprogesterone,Premature Labor
hydroxypropyl methylcellulose,Dry Eye Disease (Keratoconjunctivitis Sicca)
hydroxyquinoline,Vaginal pH Imbalance
hydroxyurea,"Thalassemia, Anemia, Sickle Cell, Cervical Cancer, Chronic Myelogenous Leukemia, Glioblastoma Multiforme, Plaque Psoriasis, Polycythemia Vera, Solid Tumors, Thrombocythemia"
hydroxyzine,"Allergic Urticaria, Allergies, Anxiety, Interstitial Cystitis, Pruritus, Nausea/Vomiting, Sedation"
hyoscyamine,"Anesthesia, Urinary Incontinence, Crohn's Disease, Duodenal Ulcer, Endoscopy or Radiology Premedication, Enterocolitis, Irritable Bowel Syndrome, Irritable Bowel Syndrome"
ibandronate,"Osteoporosis, Prevention of Osteoporosis"
ibritumomab,Non-Hodgkin's Lymphoma
ibrutinib,"Chronic Lymphocytic Leukemia, Lymphoma, Non-Hodgkin's Lymphoma, Graft-versus-host disease, Waldenström Macroglobulinemia, Mantle Cell Lymphoma"
ibuprofen,"Muscle Pain, Frozen Shoulder, Allergies, Diffuse Idiopathic Skeletal Hyperostosis, Rheumatoid Arthritis, Osteoarthritis, Aseptic Necrosis, Back Pain, Radiculopathy, Chronic Myofascial Pain, Costochondritis, Toothache, Dysautonomia, Period Pain (Dysmenorrhea), Eustachian Tube Dysfunction, Fever, Gout, Acute, Headache, Herniated Disk, Juvenile Rheumatoid Arthritis, Neck Pain, NSAID-Induced Ulcer Prophylaxis, Pain, Patent Ductus Arteriosus, Plantar Fasciitis, Polymyalgia Rheumatica, Sciatica, Sinus Symptoms, Spondylolisthesis, Temporomandibular Joint Disorder, Transverse Myelitis"
ibutilide,Atrial Flutter
icatibant,Hereditary Angioedema
icosapent,"Cardiovascular Risk Reduction, Hypertriglyceridemia"
idarubicin,"Acute Myeloid Leukemia, Leukemia, Leukocytoclastic Vasculitis, Solid Tumors"
idarucizumab,Reversal of Dabigatran Anticoagulation
idelalisib,"Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma, Follicular Lymphoma"
idursulfase,Mucopolysaccharidosis Type II
ifosfamide,"Cancer, Cervical Cancer, Testicular Cancer"
iloperidone,Psychosis
iloprost,Pulmonary Hypertension
imatinib,"Acute Lymphoblastic Leukemia, Chronic Eosinophilic Leukemia, Chronic Myelogenous Leukemia, Dermatofibrosarcoma Protuberans, Gastrointestinal Stromal Tumor, Hypereosinophilic Syndrome, Systemic Mastocytosis, Myelodysplastic Diseases, Myeloproliferative Disorders"
imiglucerase,"Gaucher Disease, Thrombocytopenia"
imipenem,"Aspiration Pneumonia, Bacteremia, Deep Neck Infection, Endocarditis, Endometritis, Febrile Neutropenia, Lemierre's Syndrome, Meningitis, Nosocomial Pneumonia, Pelvic Infections, Peritonitis, Pneumonia with Cystic Fibrosis, Septicemia"
imipramine,"Enuresis, Interstitial Cystitis, Night Terrors, Primary Nocturnal Enuresis, Somatoform Pain Disorder"
imiquimod,"Basal Cell Carcinoma, Condylomata Acuminata, Human Papilloma Virus, Keratosis, Molluscum Contagiosum"
immune globulin,Primary Immunodeficiency Syndrome
immune globulin intramuscular,"Varicella-Zoster, Hepatitis A, Measles, Rubella"
immune globulin intravenous,"Anti NMDA Receptor Encephalitis, Autoimmune Neutropenia, Bone Marrow Transplantation, Chronic Lymphocytic Leukemia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Evan's Syndrome, Idiopathic Thrombocytopenic Purpura, Kawasaki Disease (Mucocutaneous Lymph Node Syndrome), Myasthenia Gravis, Polymyositis/Dermatomyositis, Primary Immunodeficiency Syndrome"
immune globulin intravenous and subcutaneous,"Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Idiopathic Thrombocytopenic Purpura, Multifocal Motor Neuropathy, Primary Immunodeficiency Syndrome"
immune globulin subcutaneous,"Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Primary Immunodeficiency Syndrome"
incobotulinumtoxinA,"Blepharospasm, Facial Wrinkles, Cervical Dystonia (Spasmodic Torticollis), Sialorrhea, Upper Limb Spasticity"
indomethacin,"Tendonitis, Frozen Shoulder, Ankylosing Spondylitis, Bartter Syndrome, Bursitis, Cluster Headaches, Gitelman Syndrome, Gout, Acute, Langerhans' Cell Histiocytosis, Patent Ductus Arteriosus"
infliximab,"Ankylosing Spondylitis, Pulmonary Fibrosis, Behcet's Disease, Bullous Pemphigoid, Celiac Disease, Cogan's Syndrome, Ulcerative Colitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Giant Cell Arteritis, Inflammatory Bowel Disease, Juvenile Idiopathic Arthritis, Kawasaki Disease (Mucocutaneous Lymph Node Syndrome), Toxic Epidermal Necrolysis, Neurosarcoidosis, Polychondritis, Psoriatic Arthritis, Pyoderma Gangrenosum, SAPHO Syndrome, Sarcoidosis, Sjogren's Syndrome, Subcorneal Pustular Dermatosis, Ulcerative Colitis, Maintenance"
"influenza virus vaccine, h5n1",Avian Influenza
"influenza virus vaccine, inactivated",Influenza Prophylaxis
"influenza virus vaccine, live, trivalent",Influenza Prophylaxis
ingenol,"Actinic Keratosis, Keratosis"
inotersen,Amyloidogenic Transthyretin Amyloidosis
insulin aspart,"Diabetes Mellitus, Diabetes, Type 1, Nonketotic Hyperosmolar Syndrome, Diabetic Ketoacidosis"
insulin degludec,"Diabetes Mellitus, Diabetes Mellitus"
insulin glargine,"Diabetes, Type 1"
insulin glulisine,"Diabetes, Type 1, Nonketotic Hyperosmolar Syndrome, Diabetic Ketoacidosis"
insulin isophane,"Gestational Diabetes, Gestational Diabetes"
insulin lispro,"Diabetes, Type 1, Nonketotic Hyperosmolar Syndrome, Diabetic Ketoacidosis"
insulin regular,"Diabetes, Type 1, Nonketotic Hyperosmolar Syndrome, Diabetic Ketoacidosis, Gestational Diabetes, Gestational Diabetes, Growth Hormone Reserve Test, Hyperkalemia, Insulin Resistance Syndrome (Metabolic Syndrome)"
interferon alfa-2b,"Angioblastoma, Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma, Hairy Cell Leukemia, Kaposi's Sarcoma, Melanoma, Hepatitis B, Hepatitis C, Condylomata Acuminata, Follicular Lymphoma, Idiopathic Thrombocytopenic Purpura"
interferon alfa-n3,Condylomata Acuminata
interferon beta-1a,"Multiple Sclerosis, Neuritis"
interferon beta-1b,Chronic Inflammatory Demyelinating Polyradiculoneuropathy
interferon gamma-1b,"Cutaneous T-cell Lymphoma, Chronic Granulomatous Disease, Idiopathic Pulmonary Fibrosis, Osteopetrosis"
iobenguane I 123,Diagnosis and Investigation
iobenguane I 131,"Paraganglioma, Pheochromocytoma"
iodine,"Hyperthyroidism, Topical Disinfection"
iodixanol,"Aortography, Cerebral Arteriography, Computed Tomography, Coronary Arteriography, Intra-arterial Digital Subtraction Angiography, Peripheral Arteriography, Renal Arteriography, Urography, Venography"
iodoquinol,Lichen Simplex Chronicus
iohexol,"Angiocardiography, Peripheral Angiography, Aortography, Arthrography, Body Imaging, Cerebral Arteriography, Cystourethrography, Digital Subtraction Angiography, Gastrointestinal Tract Examination, Head Imaging, Hysterosalpingography, Myelography, Urography, Visceral Arteriography"
iopamidol,Endoscopy or Radiology Premedication
iopromide,"Cerebral Arteriography, Coronary Arteriography, Intra-arterial Digital Subtraction Angiography, Left Ventriculography, Peripheral Arteriography, Urography, Venography"
ioversol,"Body Imaging, Cerebral Arteriography, Coronary Arteriography, Head Imaging, Intra-arterial Digital Subtraction Angiography, Intravenous Digital Subtraction Angiography, Intravenous Urography, Left Ventriculography, Pediatric Angiocardiography, Peripheral Arteriography, Renal Arteriography, Venography, Visceral Arteriography"
ipilimumab,"Melanoma, Melanoma, Metastatic"
ipratropium,"Asthma, Bronchiectasis, COPD, Maintenance, COPD, Maintenance, Rhinorrhea"
irbesartan,Diabetic Kidney Disease (Diabetic Nephropathy)
irinotecan,Colorectal Cancer
irinotecan liposomal,Pancreatic Cancer
iron polysaccharide,Iron Deficiency Anemia
iron sucrose,Iron Deficiency Anemia
isavuconazonium,"Aspergillosis, Invasive, Mucormycosis, Invasive"
isoniazid,"Mycobacterium kansasii, Tuberculosis, Active, Tuberculosis, Active, Tuberculosis, Active, Tuberculosis, Latent, Tuberculosis, Prophylaxis"
isopropyl alcohol,Topical Disinfection
isoproterenol,"Adams-Stokes Syndrome, AV Heart Block, Bronchospasm During Anesthesia, Cardiac Arrhythmia, COPD, Acute"
isosorbide dinitrate,"Angina, Angina Pectoris Prophylaxis, Esophageal Spasm, Pulmonary Hypertension"
isosorbide mononitrate,"Angina, Angina Pectoris Prophylaxis, Heart Failure (Congestive Heart Failure), Esophageal Spasm"
isotretinoin,"Acne, Rosacea, Acute Nonlymphocytic Leukemia, Granuloma Annulare, Melanoma, Metastatic, Pityriasis rubra pilaris"
isoxsuprine,"Coronary Artery Disease, Cerebrovascular Insufficiency, Raynaud's Syndrome"
isradipine,Raynaud's Syndrome
itraconazole,"Aspergillosis, Aspergilloma, Aspergillosis, Invasive, Blastomycosis, Esophageal Candidiasis, Candida Urinary Tract Infection, Candidemia, Oral Thrush, Vaginal Yeast Infection, Coccidioidomycosis, Cryptococcal Meningitis, Immunosuppressed Host, Cryptococcosis, Dermatophytosis, Febrile Neutropenia, Fungal Infection Prophylaxis, Onychomycosis, Fingernail, Tinea Capitis, Onychomycosis, Toenail, Histoplasmosis, Microsporidiosis, Paracoccidioidomycosis, Tinea Versicolor, Sporotrichosis, Systemic Fungal Infection"
ivacaftor,"Cystic Fibrosis, Cystic Fibrosis"
ivermectin,"Rosacea, Cutaneous Larva Migrans, Ascariasis, Filariasis, Elephantiasis, Head Lice, Onchocerciasis, River Blindness, Scabies, Strongyloidiasis"
ivosidenib,Acute Myeloid Leukemia
ixekizumab,Plaque Psoriasis
"japanese enceph vacc sa14-14-2, inactivated",Japanese Encephalitis Virus Prophylaxis
ketamine,Anesthesia
ketoconazole,"Androgenetic Alopecia, Tinea Pedis, Blastomycosis, Tinea Corporis, Esophageal Candidiasis, Cutaneous Candidiasis, Oral Thrush, Vaginal Yeast Infection, Chromomycosis, Chronic Mucocutaneous Candidiasis, Coccidioidomycosis, Dandruff, Dermatophytosis, Onychomycosis, Fingernail, Tinea Cruris, Onychomycosis, Toenail, Histoplasmosis, Paracoccidioidomycosis, Tinea Versicolor, Seborrheic Dermatitis"
ketoprofen,Period Pain (Dysmenorrhea)
ketorolac,"Corneal Refractive Surgery, Ophthalmic Surgery, Pain, Postoperative Ocular Inflammation, Postoperative Pain, Seasonal Allergic Conjunctivitis"
ketotifen,"Conjunctivitis, Allergic"
l-methylfolate,"Borderline Personality Disorder, Folic Acid Deficiency, Hyperhomocysteinemia"
labetalol,"Mitral Valve Prolapse, Postural Orthostatic Tachycardia Syndrome, Hypertensive Emergency, Pheochromocytoma"
lactase,Lactose Intolerance
lactic acid,Pityriasis rubra pilaris
lactobacillus acidophilus,Dietary Supplementation
lactulose,"Constipation, Acute, Constipation, Chronic, Hepatic Encephalopathy"
lamivudine,"HIV Infection, Hepatitis B, Nonoccupational Exposure, Nonoccupational Exposure, Nonoccupational Exposure, Occupational Exposure, Occupational Exposure, Occupational Exposure"
lamotrigine,"Bipolar Disorder, Borderline Personality Disorder, Post Traumatic Stress Disorder, Cyclothymic Disorder, Restless Legs Syndrome, Epilepsy, Schizoaffective Disorder, Seizure Prevention (Seizure Prophylaxis)"
lanadelumab,Hereditary Angioedema
lanolin,Diaper Rash
lanreotide,"Acromegaly, Carcinoid Syndrome, Neuroendocrine Carcinoma"
lansoprazole,"GERD, Aspiration Pneumonia, Barrett's Esophagus, Duodenal Ulcer, Duodenal Ulcer Prophylaxis, Gastritis/Duodenitis, Erosive Esophagitis, Laryngopharyngeal Reflux, Stomach Ulcer (Gastric Ulcer), Helicobacter Pylori Infection, Helicobacter Pylori Infection, Hiatal Hernia, Systemic Mastocytosis, Multiple Endocrine Adenomas, NSAID-Induced Gastric Ulcer, NSAID-Induced Ulcer Prophylaxis, Zollinger-Ellison Syndrome"
lanthanum carbonate,Hyperphosphatemia of Renal Failure
laronidase,Mucopolysaccharidosis Type I
larotrectinib,Solid Tumors
latanoprost,"Glaucoma, Open Angle, Intraocular Hypertension"
latanoprostene bunod,Glaucoma/Intraocular Hypertension
ledipasvir,Hepatitis C
leflunomide,"Rheumatoid Arthritis, Psoriatic Arthritis"
lenalidomide,"Anemia, Lymphoma, Multiple Myeloma, Mantle Cell Lymphoma, Myelodysplastic Diseases"
lenvatinib,"Renal Cell Carcinoma, Thyroid Cancer, Endometrial Cancer, Hepatocellular Carcinoma"
lesinurad,"Gout, Gout"
letermovir,CMV Prophylaxis
letrozole,"Breast Cancer, Breast Cancer, Adjuvant, Breast Cancer, Metastatic, Female Infertility"
leucovorin,"Anemia, Megaloblastic, Colorectal Cancer, Folic Acid Antagonist Overdose, Methotrexate Overdosage, Methotrexate Rescue, Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis, Toxoplasmosis, Toxoplasmosis, Prophylaxis"
leuprolide,"Breast Cancer, Adjuvant, Prostate Cancer, Endometriosis, Female Infertility, Hirsutism, Precocious Puberty, Uterine Fibroids, Uterine Leiomyomata"
levalbuterol,"Asthma, acute, Asthma, COPD, COPD, Acute, COPD, Maintenance"
levetiracetam,"Seizures (Convulsions), New Daily Persistent Headache, Epilepsy, Hyperekplexia, Neuralgia"
levobunolol,Intraocular Hypertension
levocarnitine,"Carnitine Deficiency, Peripheral Neuropathy"
levocetirizine,"Allergic Rhinitis, Allergies, Urticaria"
levodopa,"Restless Legs Syndrome, Restless Legs Syndrome, GTP-CH Deficiency, Neuroleptic Malignant Syndrome, Periodic Limb Movement Disorder, Parkinson's Disease, Parkinson's Disease, Parkinsonism"
levofloxacin,"Urinary Tract Infection, Sinusitis, Anthrax, Anthrax Prophylaxis, Bacterial Infection, Bladder Infection, Bronchitis, Pneumonia, Plague, Skin or Soft Tissue Infection, Chlamydia Infection, Nongonococcal Urethritis, Prostatitis, Corneal Ulcer, Otitis Media, Epididymitis, Sexually Transmitted, Gonococcal Infection, Disseminated, Gonococcal Infection, Uncomplicated, Kidney Infections (Pyelonephritis), Nosocomial Pneumonia, Ophthalmic Surgery, Pelvic Inflammatory Disease, Plague Prophylaxis, Streptococcal Infection, Tuberculosis, Active"
levoleucovorin,"Methotrexate Overdosage, Methotrexate Rescue"
levomefolate calcium,"Polycystic Ovary Syndrome, Premenstrual Dysphoric Disorder"
levonorgestrel,"Abnormal Uterine Bleeding, Abnormal Uterine Bleeding, Birth Control (Contraception), Birth Control (Contraception), Emergency Contraception (Postcoital Contraception), Emergency Contraception (Postcoital Contraception), Endometriosis, Ovarian Cysts, Gonadotropin Inhibition, Polycystic Ovary Syndrome, Premenstrual Syndrome, Prevention of Osteoporosis"
levorphanol,Light Sedation
levothyroxine,"Hashimoto's disease (Chronic Lymphocytic Thyroiditis), Underactive Thyroid (Hypothyroidism), Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy), Myxedema Coma, Thyroid Suppression Test, TSH Suppression"
lidocaine,"Anal Itching, Anesthesia, Anesthesia, Arrhythmia, Bacterial Skin Infection, Burning Mouth Syndrome (Glossopyrosis), Burns, External, Costochondritis, Gastrointestinal Surgery, Gastrointestinal Tract Examination, Hemorrhoids, Hemorrhoids, Pruritus, Local Anesthesia, Local Anesthesia, Manscaping Pain, Neuropathic Pain, Ophthalmic Surgery, Postherpetic Neuralgia, Sunburn, Ventricular Tachycardia, Ventricular Fibrillation"
lifitegrast,Dry Eye Disease (Keratoconjunctivitis Sicca)
linaclotide,"Constipation, Constipation, Chronic"
lindane,"Lice, Head Lice, Scabies"
linezolid,"Bacteremia, Methicillin-Resistant Staphylococcus Aureus Infection, Skin and Structure Infection, Nosocomial Pneumonia"
liothyronine,"Underactive Thyroid (Hypothyroidism), Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy), Myxedema, Myxedema Coma, Thyroid Suppression Test, TSH Suppression"
liotrix,Underactive Thyroid (Hypothyroidism)
liraglutide,"Cardiovascular Risk Reduction, Diabetes, Type 2, Weight Loss"
lisdexamfetamine,"ADHD (Attention Deficit Hyperactivity Disorder), Asperger Syndrome, Binge Eating Disorder, Chronic Fatigue Syndrome, Narcolepsy, Oppositional Defiant Disorder"
lisinopril,"Polycystic Kidney Disease, Alport Syndrome, Coronary Artery Disease, Heart Failure (Congestive Heart Failure), Diabetic Kidney Disease (Diabetic Nephropathy), High Blood Pressure (Hypertension), High Blood Pressure (Hypertension), Heart Attack (Myocardial Infarction), Migraine Prevention (Migraine Prophylaxis), Nephropathy"
lithium,"Bipolar Disorder, Borderline Personality Disorder, Cluster Headaches, Cyclothymic Disorder, Mania, Intermittent Explosive Disorder, Schizoaffective Disorder"
lodoxamide,"Conjunctivitis, Keratoconjunctivitis"
lofexidine,Opiate Withdrawal
lomitapide,"High Cholesterol, Familial Homozygous"
lomustine,"Anaplastic Oligodendroglioma, Brain Tumor"
loperamide,"Diarrhea, Chronic, Diarrhea, Diarrhea, Acute, Diarrhea, Acute, Traveler's Diarrhea, Lymphocytic Colitis"
lopinavir,Nonoccupational Exposure
loratadine,"Allergic Reactions, Allergic Rhinitis, Allergies, Nasal Congestion, Urticaria, Physical Urticaria"
lorazepam,"Anxiety, Borderline Personality Disorder, Cervical Dystonia (Spasmodic Torticollis), Insomnia, Dysautonomia, ICU Agitation, Light Anesthesia, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Panic Disorder, Sedation, Status Epilepticus"
lorcaserin,"Obesity, Weight Loss"
losartan,"Alport Syndrome, Diabetic Kidney Disease (Diabetic Nephropathy), High Blood Pressure (Hypertension)"
loteprednol,"Conjunctivitis, Cyclitis, Cyclitis, Iritis, Iritis, Keratitis, Postoperative Ocular Inflammation, Seasonal Allergic Conjunctivitis"
lovastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia"
loxapine,"Agitated State, Agitation, Schizophrenia"
lubiprostone,"Constipation, Chronic, Constipation, Drug Induced, Opioid-Induced Constipation"
lumacaftor,Cystic Fibrosis
lumefantrine,Malaria
lurasidone,"Borderline Personality Disorder, Schizoaffective Disorder"
luspatercept,Beta Thalassemia
lusutrombopag,Thrombocytopenia
lutein,Eye Conditions
lutetium lu 177 dotatate,Neuroendocrine Carcinoma
lvp solution,"Dehydration, Peritoneal dialysis"
"lymphocyte immune globulin, anti-thy (equine)","Aplastic Anemia, Renal Transplant"
macimorelin,Growth Hormone Reserve Test
macitentan,Pulmonary Hypertension
magnesium amino acids chelate,Hypomagnesemia
magnesium carbonate,"Hyperphosphatemia of Renal Failure, Hypomagnesemia"
magnesium chloride,Hypomagnesemia
magnesium citrate,Constipation
magnesium gluconate,Hypomagnesemia
magnesium hydroxide,"Gas, Constipation, Indigestion, Indigestion, Laryngopharyngeal Reflux, Hiatal Hernia, Stress Ulcer Prophylaxis"
magnesium oxide,"Urinary Tract Stones, Bowel Preparation, Constipation, Hypomagnesemia, Pathological Hypersecretory Disorder"
magnesium salicylate,Inflammatory Conditions
magnesium sulfate,"Barium Poisoning, Bowel Preparation, Hypomagnesemia, Seizure Prevention (Seizure Prophylaxis), Ventricular Arrhythmia"
magnesium trisilicate,Hiatal Hernia
malathion,Head Lice
mannitol,"Cerebral Edema, Diagnosis and Investigation, Oliguria"
measles virus vaccine,"Measles Prophylaxis, Measles Prophylaxis, Measles Prophylaxis, Mumps Prophylaxis, Mumps Prophylaxis, Rubella Prophylaxis, Rubella Prophylaxis, Vaccination and Prophylaxis, Varicella-Zoster, Prophylaxis"
mebendazole,"Hookworm Infection (Necator or Ancylostoma), Angiostrongylosis, Ascariasis, Capillariasis, Dracunculiasis, Echinococcus, Filariasis, Elephantiasis, Hydatid Disease, Whipworm Infection, Pinworm Infection (Enterobius vermicularis), Trichinosis, Trichostrongylosis, Visceral Larva Migrans, Toxicariasis"
mecasermin,Primary IGF-1 Deficiency
mechlorethamine,Mycosis Fungoides
meclizine,"Vertigo, Motion Sickness, Nausea/Vomiting"
medroxyprogesterone,"Abnormal Uterine Bleeding, Renal Cell Carcinoma, Amenorrhea, Birth Control (Contraception), Endometrial Cancer, Endometrial Hyperplasia, Prophylaxis, Endometriosis, Gender Dysphoria, Oophorectomy, Postmenopausal Symptoms, Primary Ovarian Failure"
mefenamic acid,Period Pain (Dysmenorrhea)
mefloquine,"Malaria, Malaria Prevention (Malaria Prophylaxis)"
megestrol,"Abnormal Uterine Bleeding, AIDS Related Wasting, Anorexia, Breast Cancer, Palliative, Cachexia, Endometrial Cancer, Endometrial Hyperplasia, Hot Flashes, Weight Loss"
meloxicam,"Tendonitis, Rheumatoid Arthritis, Osteoarthritis, Fibromyalgia, Inflammatory Conditions, Juvenile Rheumatoid Arthritis"
melphalan,"Multiple Myeloma, Ovarian Cancer"
memantine,"Alzheimer's Disease, Alzheimer's Disease, Autism"
meningococcal conjugate vaccine,Meningococcal Meningitis Prophylaxis
meningococcal group B vaccine,"Meningitis, Meningococcal, Meningococcal Meningitis Prophylaxis"
menotropins,"Female Infertility, Follicle Stimulation, Ovulation Induction"
menthol,"Diaper Rash, Minor Skin Irritation, Sore Throat, Sore Throat, Tonsillitis/Pharyngitis"
meperidine,Light Sedation
mepivacaine,Local Anesthesia
mepolizumab,Eosinophilic Granulomatosis with Polyangiitis
mercaptopurine,"Acute Lymphoblastic Leukemia, Autoimmune Hepatitis, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Inflammatory Bowel Disease, Intestinal Arterial Insufficiency, Ulcerative Colitis, Maintenance"
meropenem,"Skin and Structure Infection, Intraabdominal Infection, Meningitis, Nosocomial Pneumonia"
mesalamine,"Ulcerative Colitis, Crohn's Disease, Crohn's Disease, Maintenance, Inflammatory Bowel Disease, Lymphocytic Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance, Ulcerative Proctitis"
mesna,Hemorrhagic Cystitis Prophylaxis
metaxalone,"Muscle Spasm (Involuntary Hypertonicity), Fibromyalgia"
metformin,"Cardiovascular Risk Reduction, Diabetes, Type 2, Diabetes, Type 2, Diabetes, Type 3c, Female Infertility, Insulin Resistance Syndrome (Metabolic Syndrome), Polycystic Ovary Syndrome"
methacholine,Diagnosis and Investigation
methadone,"Chronic Pain, Opiate Withdrawal"
methamphetamine,Obesity
methazolamide,Glaucoma
methenamine,"Urinary Tract Infection, Bladder Infection, Prevention of Bladder infection (Cystitis Prophylaxis), Kidney Infections (Pyelonephritis)"
methimazole,Hyperthyroidism
methocarbamol,"Muscle Spasm (Involuntary Hypertonicity), Opiate Withdrawal, Tetanus"
methohexital,Anesthetic Adjunct
methotrexate,"Ectopic Pregnancy, Acute Lymphocytic Leukemia, Acute Lymphoblastic Leukemia, Acute Nonlymphocytic Leukemia, Soft Tissue Sarcoma, Rheumatoid Arthritis, Eczema, Bladder Cancer, Osteosarcoma, Brain Tumor, Breast Cancer, Bullous Pemphigoid, Cervical Cancer, Colorectal Cancer, Hodgkin's Lymphoma, Non-Small Cell Lung Cancer, Small Cell Lung Cancer, Lymphoma, Meningeal Leukemia, Non-Hodgkin's Lymphoma, Ovarian Cancer, Pancreatic Cancer, Choriocarcinoma, Trophoblastic Disease, Systemic Sclerosis, Cogan's Syndrome, Scleroderma, Dermatomyositis, Psoriasis, Esophageal Carcinoma, Gastric Cancer, Graft-versus-host disease, Head and Neck Cancer, Juvenile Idiopathic Arthritis, Mantle Cell Lymphoma, Mycosis Fungoides, Neoplastic Diseases, Pemphigoid, Pemphigus, Pityriasis rubra pilaris, Psoriatic Arthritis, Solid Tumors, Uveitis"
methoxsalen,Cutaneous T-cell Lymphoma
methscopolamine,"Dumping Syndrome, Peptic Ulcer, Rhinitis"
methyl aminolevulinate,Keratosis
methyldopa,Hypertensive Emergency
methylene blue,"Methemoglobinemia, Encephalopathy"
methylergonovine,Postpartum Bleeding
methylnaltrexone,"Constipation, Chronic, Constipation, Drug Induced, Opioid-Induced Constipation"
methylphenidate,"ADHD (Attention Deficit Hyperactivity Disorder), Postural Orthostatic Tachycardia Syndrome, Narcolepsy, Fatigue, Severe Mood Dysregulation, Sleep Paralysis"
methylprednisolone,"Asthma, acute, Adrenogenital Syndrome, Atopic Dermatitis, Asthma, Dermatologic Lesion, Gout, Acute, Immunosuppression, Inflammatory Conditions, Nephropathy, Neuralgia, Plaque Psoriasis, Shock, Transverse Myelitis, Ulcerative Colitis, Active"
methyltestosterone,"Breast Cancer, Palliative, Menopausal Disorders, Delayed Puberty, Male, Hot Flashes, Hypogonadism, Male, Postpartum Breast Pain"
metoclopramide,"Lactation Augmentation, Gastroparesis, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Radiographic Exam, Small Intestine Intubation"
metolazone,Edema
metoprolol,"Angina, Atrial Fibrillation, Angina Pectoris Prophylaxis, Aortic Aneurysm, Mitral Valve Prolapse, Benign Essential Tremor, Heart Failure (Congestive Heart Failure), High Blood Pressure (Hypertension), Heart Attack (Myocardial Infarction), Left Ventricular Dysfunction, Migraine Prevention (Migraine Prophylaxis), Premature Ventricular Depolarizations, Supraventricular Tachycardia, Tapering Regimen"
metreleptin,Lipodystrophy
metronidazole,"Rosacea, Amebiasis, Aspiration Pneumonia, Pseudomembranous Colitis, Bacteremia, Bacterial Infection, Bacterial Vaginitis, Balanoposthitis, Balantidium coli, Bone infection (Osteomyelitis), Pneumonia, Clostridioides difficile Infection, Skin or Soft Tissue Infection, Nongonococcal Urethritis, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Deep Neck Infection, Dental Abscess, Dientamoeba fragilis, Diverticulitis, Dracunculiasis, Endocarditis, Gastrointestinal Perforation, Giardiasis, Helicobacter Pylori Infection, Helicobacter Pylori Infection, Intraabdominal Infection, Joint Infection, Lemierre's Syndrome, Meningitis, Pelvic Inflammatory Disease, Perioral Dermatitis, Peritonitis, Pouchitis, STD Prophylaxis, Surgical Prophylaxis, Trichomoniasis"
metyrapone,Diagnosis and Investigation
metyrosine,Pheochromocytoma
mexiletine,"Arrhythmia, Myotonia Congenita, Diabetic Peripheral Neuropathy, Ventricular Tachycardia"
micafungin,"Esophageal Candidiasis, Candidemia, Fungal Infection Prophylaxis"
